City_Name,No_of_registered_tourist_attractions,states_state_name
orchha,4,madhya pradesh
nainital,4,uttarakhand
khajjiar,4,himachal pradesh
kolkata,5,west bengal
amritsar,6,punjab
cherrapunji,4,meghalaya
mumbai,5,maharashtra 
ajanta ellora,4,maharashtra 
panaji,4,goa
kanyakumari,4,tamil nadu
mysore,4,karnataka
trivandrum,6,kerala
munnar,5,kerala
agra,5,uttar pradesh
coorg,5,karnataka
shimla,7,himachal pradesh
varanasi,6,uttar pradesh
ranchi,4,jharkhand
chennai,5,tamil nadu
indore,4,madhya pradesh
bhopal,4,madhya pradesh
patna,4,bihar
ahmedabad,4,gujarat
coimbatore,4,tamil nadu
bangalore,5,karnataka
mangalore,4,karnataka
hyderabad,5,telangana
jaipur,4,rajasthan
lucknow,4,uttar pradesh
