trains_train_id,train_no,train_name
1,12592,Gorakhpur Express
2,15101,Jansadharan Express
3,22455,Sainagar Shiridi Kalka Superfast Express
4,22458,AADR-NED Superfast Express
5,22911,Shipra Express
6,22912,Shipra Express
7,12715,Sachkhand Express
8,11078,Jhelum Express
9,1665,HBJ Agartala Special
10,15646,GHY LTT Express
11,12533,Pushpak Express
12,12167,Ltt Bsb Superfast Express
13,12618,Mngla Lksdp Express
14,12617,Mangala Ldweep
15,12622,Tamil Nadu Express
16,12621,Tamil Nadu Express
17,22692,Banglore Rajdhani Express
18,22691,Rajdhani Express
19,16318,Himsagar Express
20,12625,Kerala Express
21,12592,Gorakhpur Express
22,15101,Jansadharan Express
23,12541,Gkp Ltt Superfast Express
24,12534,Pushpak Express
25,15102,Mumbai CSMT Express
26,15101,Jansadharan Express
27,11464,JBP Somnath Express
28,19413,Kolkata Express
29,12724,Telangana Express
30,12720,HYB JP Superfast Express
31,18243,Bsp Bgkt Express
32,14813,Jodhpur Bhopal Express
33,13151,Jammu Tawi Express
34,12326,Nldm Koaa Express
35,13020,Bagh Express
36,12369,Kumbha Express
37,14649,Surya Yamuna Express
38,13152,Sealdah Express
39,12328,Upasana Express
40,12423,Dbrt Rajdhani Express
41,19020,Dehradun Express
42,22659,Dehradun Express
43,22660,Ddn Kcvl Superfast Express
44,22659,Dehradun Express
45,12688,Ddn Mdu Superfast Express
46,12687,Dehradun Express
47,12688,Ddn Mdu Superfast Express
48,12608,Lalbagh Express
49,22660,Ddn Kcvl Superfast Express
50,22659,Dehradun Express
51,14266,Ddn Bsb Express
52,12327,Upasana Express
53,13010,Doon Express
54,12366,Ranchi Patna PNBE Janshatabdi Express
55,15006,Ddn Gkp Express
56,12565,Bihar Sampark Kranti Express
57,19566,Uttaranchal Express
58,12479,Suryanagari SF Express
59,12688,Ddn Mdu Superfast Express
60,12687,Dehradun Express
61,19566,Uttaranchal Express
62,19565,Uttaranchal Express
63,12326,Nldm Koaa Express
64,12325,Koaa Nldm Express
65,12920,Malwa Express
66,12919,Malwa Express
67,12424,Dbrt Rajdhani Express
68,12423,Dbrt Rajdhani Express
69,12952,Rajdhani Express
70,12951,rajdhani express
71,12218,Kerla s kranti
72,12217,Sampark Kranthi
73,12434,Chennai Rajdhani
74,12435,Dbrt Rajdhani Express
75,12628,Karnataka Express
76,12629,Sampark Kranthi
77,12218,Kerla s kranti
78,12217,Sampark Kranthi
79,15531,Shc-asr Jsadharan
80,15530,Anvt Shc Jansadharan
81,12874,Jharkhand express
82,12873,Jharkhand S J E
83,13008,U A Toofan exp
84,13007,U Abhatoofan
85,12215,Dee bdts G Rath
86,12214,Ypr Duronto Exp
87,12724,Andhra Pradesh Exp
88,12723,Andhra Pradesh Exp
89,12414,Jammu Aii Express
90,12413,Aii Jat Express
91,12311,Hwh Dli Klk Mai
92,12312,Kalka Mail Express
93,15959,Kamrup Express
94,15960,Kamrup Express
95,12870,Hwh Cstm Express
96,12869,Howrah Superfast Express
97,12253,Anga Express
98,12254,Anga Express
99,12841,Coromandal Express
