trains_train_id,starting_state,ending_state,train_no,train_name,duration
1,Madhya Pradesh,Uttarakhand,12592,Gorakhpur Express,9h 35m
2,Uttarakhand,Madhya Pradesh,15101,Jansadharan Express,9h 55m
3,Madhya Pradesh,Himachal Pradesh,22455,Sainagar Shiridi Kalka Superfast Express,21h 2m
4,Himachal Pradesh,Madhya Pradesh,22458,AADR-NED Superfast Express,19h 55m
5,Madhya Pradesh,West Bengal,22911,Shipra Express,26h 40m
6,West Bengal,Madhya Pradesh,22912,Shipra Express,26h 35m
7,Madhya Pradesh,Punjab,12715,Sachkhand Express,16h 49m
8,Punjab,Madhya Pradesh,11078,Jhelum Express,19h 5m
9,Madhya Pradesh,Meghalaya,1665,HBJ Agartala Special,35h 15m
10,Meghalaya,Madhya Pradesh,15646,GHY LTT Express,39h 50m
11,Madhya Pradesh,Maharashtra,12533,Pushpak Express,14h 4m
12,Maharashtra,Madhya Pradesh,12167,Ltt Bsb Superfast Express,13h 50m
13,Madhya Pradesh,Goa,12618,Mngla Lksdp Express,22h 42m
14,Goa,Madhya Pradesh,12617,Mangala Ldweep,22h 56m
15,Madhya Pradesh,TamilNadu,12622,Tamil Nadu Express,23h 10m
16,TamilNadu,Madhya Pradesh,12621,Tamil Nadu Express,22h 15m
17,Madhya Pradesh,Karnataka,22692,Banglore Rajdhani Express,26h 14m
18,Karnataka,Madhya Pradesh,22691,Rajdhani Express,26h 33m
19,Madhya Pradesh,Kerala,16318,Himsagar Express,41h 20m
20,Kerala,Madhya Pradesh,12625,Kerala Express,39h 40m
21,Madhya Pradesh,Uttar Pradesh,12592,Gorakhpur Express,9h 35m
22,Uttar Pradesh,Madhya Pradesh,15101,Jansadharan Express,9h 55m
23,Madhya Pradesh,Jharkhand,12541,Gkp Ltt Superfast Express,28h 40m
24,Jharkhand,Madhya Pradesh,12534,Pushpak Express,28h 26m
25,Madhya Pradesh,Bihar,15102,Mumbai CSMT Express,19h 40m
26,Bihar,Madhya Pradesh,15101,Jansadharan Express,18h 15m
27,Madhya Pradesh,Gujarat,11464,JBP Somnath Express,13h 20m
28,Gujarat,Madhya Pradesh,19413,Kolkata Express,24h 40m
29,Madhya Pradesh,Telangana,12724,Telangana Express,16h 5m
30,Telangana,Madhya Pradesh,12720,HYB JP Superfast Express,17h 35m
31,Madhya Pradesh,Rajasthan,18243,Bsp Bgkt Express,13h 20m
32,Rajasthan,Madhya Pradesh,14813,Jodhpur Bhopal Express,16h 20m
33,Uttarakhand,Himachal Pradesh,13151,Jammu Tawi Express,17h 3m
34,Himachal Pradesh,Uttarakhand,12326,Nldm Koaa Express,13h 15m
35,Uttarakhand,West Bengal,13020,Bagh Express,30h 20m
36,West Bengal,Uttarakhand,12369,Kumbha Express,18h 15m
37,Uttarakhand,Punjab,14649,Surya Yamuna Express,18h 58m
38,Punjab,Uttarakhand,13152,Sealdah Express,15h
39,Uttarakhand,Meghalaya,12328,Upasana Express,42h 15m
40,Meghalaya,Uttarakhand,12423,Dbrt Rajdhani Express,38h 10m
41,Uttarakhand,Maharashtra,19020,Dehradun Express,43h 12m
42,Maharashtra,Uttarakhand,22659,Dehradun Express,33h 25m
43,Uttarakhand,Goa,22660,Ddn Kcvl Superfast Express,40h 3m
44,Goa,Uttarakhand,22659,Dehradun Express,44h 32m
45,Uttarakhand,TamilNadu,12688,Ddn Mdu Superfast Express,43h 20m
46,TamilNadu,Uttarakhand,12687,Dehradun Express,42h 55m
47,Uttarakhand,Karnataka,12688,Ddn Mdu Superfast Express,41h 47m
48,Karnataka,Uttarakhand,12608,Lalbagh Express,2days 3h
49,Uttarakhand,Kerala,22660,Ddn Kcvl Superfast Express,2days 10h
50,Kerala,Uttarakhand,22659,Dehradun Express,2days 13h
51,Uttarakhand,Uttar Pradesh,14266,Ddn Bsb Express,13h 35m
52,Uttar Pradesh,Uttarakhand,12327,Upasana Express,10h 30m
53,Uttarakhand,Jharkhand,13010,Doon Express,32h 33m
54,Jharkhand,Uttarakhand,12366,Ranchi Patna PNBE Janshatabdi Express,33h 47m
55,Uttarakhand,Bihar,15006,Ddn Gkp Express,18h 51m
56,Bihar,Uttarakhand,12565,Bihar Sampark Kranti Express,19h 50m
57,Uttarakhand,Gujarat,19566,Uttaranchal Express,25h 29m
58,Gujarat,Uttarakhand,12479,Suryanagari SF Express,37h 25m
59,Uttarakhand,Telangana,12688,Ddn Mdu Superfast Express,37h 16m
60,Telangana,Uttarakhand,12687,Dehradun Express,36h
61,Uttarakhand,Rajasthan,19566,Uttaranchal Express,13h 15m
62,Rajasthan,Uttarakhand,19565,Uttaranchal Express,15h 45m
63,Himachal Pradesh,West Bengal,12326,Nldm Koaa Express,35h 25m
64,West Bengal,Himachal Pradesh,12325,Koaa Nldm Express,36h 14m
65,Himachal Pradesh,Punjab,12920,Malwa Express,4h 23m
66,Punjab,Himachal Pradesh,12919,Malwa Express,3h 57m
67,Himachal Pradesh,Meghalaya,12424,Dbrt Rajdhani Express,40h 1m
68,Meghalaya,Himachal Pradesh,12423,Dbrt Rajdhani Express,40h 8m
69,Himachal Pradesh,Maharashtra,12952,Rajdhani Express,20h
70,Maharashtra,Himachal Pradesh,12951,rajdhani express,20h
71,Himachal Pradesh,Goa,12218,Kerla s kranti,35h 15m
72,Goa,Himachal Pradesh,12217,Sampark Kranthi,35h 20m
73,Himachal Pradesh,TamilNadu,12434,Chennai Rajdhani,42h 8m
74,TamilNadu,Himachal Pradesh,12435,Dbrt Rajdhani Express,42h 20m
75,Himachal Pradesh,Karnataka,12628,Karnataka Express,24hr 1m
